12,0,4.5501537,56,2017-08-16T02:50:24.796268862Z,TRUE
1571,0,0.5349312,36,2017-08-16T02:50:24.797276322Z,FALSE
2374,0,1.8992995,42,2017-08-16T02:50:24.797786065Z,FALSE
2507,0,7.820773,45,2017-08-16T02:50:24.797861392Z,TRUE
2892,0,1.8599668,61,2017-08-16T02:50:24.798108749Z,FALSE
2986,0,5.2193775,82,2017-08-16T02:50:24.798161032Z,FALSE
3823,0,5.332997,46,2017-08-16T02:50:24.798679585Z,FALSE
4503,0,1.8972008,23,2017-08-16T02:50:24.799134478Z,FALSE
4570,0,2.9557157,37,2017-08-16T02:50:24.799179189Z,FALSE
4643,0,2.492671,93,2017-08-16T02:50:24.799220338Z,TRUE
54,1,0.9724701,64,2017-08-16T02:50:24.79629095Z,TRUE
833,1,1.1086948,54,2017-08-16T02:50:24.796814085Z,TRUE
2161,1,4.9079843,48,2017-08-16T02:50:24.797649235Z,FALSE
2691,1,9.677085,13,2017-08-16T02:50:24.797978698Z,FALSE
3456,1,9.382902,22,2017-08-16T02:50:24.798454866Z,FALSE
3590,1,8.55365,44,2017-08-16T02:50:24.798534067Z,TRUE
4303,1,8.32055,47,2017-08-16T02:50:24.799013096Z,FALSE
4838,1,2.7427614,37,2017-08-16T02:50:24.799359161Z,FALSE
4957,1,7.370984,39,2017-08-16T02:50:24.799426409Z,FALSE
400,2,5.976115,38,2017-08-16T02:50:24.796521427Z,TRUE
643,2,9.277581,28,2017-08-16T02:50:24.796704985Z,FALSE
745,2,8.955061,51,2017-08-16T02:50:24.796762375Z,FALSE
779,2,6.3750386,67,2017-08-16T02:50:24.796782759Z,FALSE
1715,2,8.746703,92,2017-08-16T02:50:24.797358634Z,TRUE
2365,2,9.766189,10,2017-08-16T02:50:24.797779006Z,FALSE
2553,2,9.574831,61,2017-08-16T02:50:24.797886218Z,TRUE
2681,2,2.9548678,13,2017-08-16T02:50:24.797971532Z,FALSE
3949,2,7.903241,70,2017-08-16T02:50:24.798751683Z,TRUE
4078,2,5.090353,89,2017-08-16T02:50:24.798837998Z,TRUE
4869,2,4.492698,78,2017-08-16T02:50:24.799377404Z,TRUE
1196,3,3.5567865,10,2017-08-16T02:50:24.797047775Z,FALSE
1419,3,8.772799,81,2017-08-16T02:50:24.797178163Z,TRUE
1862,3,5.428735,68,2017-08-16T02:50:24.797458148Z,TRUE
2423,3,9.873711,75,2017-08-16T02:50:24.797812509Z,TRUE
